ATCOCode,NaptanCode,PlateCode,CleardownCode,CommonName,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
0100BRA16939,bstpajw,,,Sandholme Road,,,,,,Sandholme Road,,,,B,,NE,E0035580,Brislington,Bristol,,,,,,false,UKOS,361545,171622,-2.55468,51.44228,BCT,CUS,OTH,,,,009,2009-02-10T00:00:00,2020-08-18T13:59:07,16,new,active
0100BRA16938,bstpajt,,,Sandholme Road,,,,,,Sandholme Road,,,,C,,SW,E0035580,Brislington,Bristol,,,,,,false,UKOS,361724,171801,-2.55213,51.4439,BCT,MKD,OTH,,,,009,2007-03-29T00:00:00,2020-08-18T13:58:46,16,new,active
0100BRA16903,bstpamw,,,Bath Street,,,,,,Ashton Road,,,,o/s,,NE,E0035562,Ashton Gate,Bristol,,,,,,false,UKOS,357059,171621,-2.61922,51.44194,BCT,MKD,OTH,,,,009,2005-05-25T00:00:00,2023-12-13T14:45:02,24,new,active
0100BRA16901,bstpamp,,,Breach Road,,,,,,Duckmoor Road,,,,N-bound,,N,E0035562,Ashton Gate,Bristol,,,,,,false,UKOS,357402,171110,-2.61423,51.43738,BCT,MKD,OTH,,,,009,2005-05-25T00:00:00,2023-12-13T14:42:47,8,new,active
0100BRA16902,bstpamt,,,Breach Road,,,,,,Duckmoor Road,,,,S-bound,,S,E0035562,Ashton Gate,Bristol,,,,,,false,UKOS,357396,171137,-2.61432,51.43762,BCT,MKD,OTH,,,,009,2005-05-25T00:00:00,2023-12-13T14:43:09,8,new,active
0100BRA10946,bstjdja,,,Oxford Street,,,,,,Oxford Street,,,,NE-bound,,NE,E0035661,Totterdown,Bristol,,,,,,false,UKOS,359837,171580,-2.57925,51.44178,BCT,MKD,OTH,,,,009,2003-06-12T00:00:00,2020-08-18T12:55:16,14,new,active
0100BRA10945,bstgtgp,,,Atlas Road,,,,,,Saint Johns Lane,,,,E-bound,,E,E0035676,Windmill Hill,Bristol,,,,,,false,UKOS,359092,170997,-2.5899,51.43648,BCT,MKD,OTH,,,,009,2003-06-12T00:00:00,2025-07-23T09:00:44,43,new,active
0100BRA10313,bstgpjp,,,Atlas Road,,,,,,Saint Johns Lane,,,,W-bound,,W,E0035676,Windmill Hill,Bristol,,,,,,false,UKOS,359061,170987,-2.59035,51.43639,BCT,MKD,OTH,,,,009,2003-06-12T00:00:00,2025-07-23T09:01:02,43,new,active
0100BRA10039,bstgjmt,,,New Charlotte Street,,,,,,Coronation Road,,,,E-bound,,E,E0035645,Southville,Bristol,,,,,,false,UKOS,358915,172020,-2.59257,51.44567,BCT,MKD,OTH,,,,009,2003-06-12T00:00:00,2017-08-10T13:38:48,17,new,active
0100BRA10040,bstgdwj,,,New Charlotte Street,,,,,,Coronation Road,,,,W-bound,,W,E0035645,Southville,Bristol,,,,,,false,UKOS,358840,172017,-2.59365,51.44564,BCT,MKD,OTH,,,,009,2003-06-12T00:00:00,2023-12-13T15:15:22,17,new,active
